ts_utc,latitude,longitude,altitude,airspeed
2025-11-19 15:25:48.000 UTC,35.162373521178964,-103.83459333317354,2975.25,114.4271189706872
2025-11-19 15:25:49.000 UTC,35.162406793702395,-103.83388809425756,2972.0,114.45780995837389
2025-11-19 15:25:50.000 UTC,35.162489659152925,-103.8329735803418,2968.5,114.03870842043084
2025-11-19 15:25:51.000 UTC,35.162558080628514,-103.83245580134913,2989.75,114.00806033520844
2025-11-19 15:25:52.000 UTC,35.162608564272524,-103.83174002442507,2988.375,114.1757180450426
2025-11-19 15:25:53.000 UTC,35.16267527192831,-103.8310482333228,3011.0,113.88661759268696
2025-11-19 15:25:54.000 UTC,35.16273171203211,-103.83032637499272,3011.5,114.38587026132537
2025-11-19 15:25:55.000 UTC,35.16278397962451,-103.82963479930535,2989.625,114.4966746650154
2025-11-19 15:25:56.000 UTC,35.162847069092095,-103.82898997608572,2991.25,113.8141187978647
2025-11-19 15:25:57.000 UTC,35.16290347287431,-103.82824315605686,2970.25,112.76849405941157
2025-11-19 15:25:58.000 UTC,35.16295727726072,-103.82754221370443,2972.625,112.84867270861074
2025-11-19 15:25:59.000 UTC,35.163016500882804,-103.82686025675386,2950.375,112.92956775044225
2025-11-19 15:26:00.000 UTC,35.163072360120715,-103.82615774994716,2951.875,111.89716241479977
2025-11-19 15:26:01.000 UTC,35.163101143017414,-103.8254759393446,2906.875,111.64416104527704
2025-11-19 15:26:02.000 UTC,35.16318011563271,-103.82479134511205,2977.625,112.17447225064356
2025-11-19 15:26:03.000 UTC,35.16322716604918,-103.82409976540131,2957.375,111.93603847400146
2025-11-19 15:26:04.000 UTC,35.16334321880713,-103.82342197101563,2959.0,110.92287657987602
2025-11-19 15:26:05.000 UTC,35.16335517845782,-103.8227429619804,2958.375,110.35379177106512
2025-11-19 15:26:06.000 UTC,35.16336759086698,-103.82205832120032,2957.0,110.05953899483691
2025-11-19 15:26:07.000 UTC,35.16341046961024,-103.82137187490238,3001.125,110.2558015687396
